exhibitionNumber,title,type,venueOrganization,venuePlace,venueStorageLocation,venueOpeningDAte,venueClosingDate,venueAttendance,venueUrl,planningNote,curatorialNote,generalNote,boilerplateText,workingGroupTitle,workingGroupNote,exhibitionPersonOrganization,exhibitionPersonPerson,exhibitionPersonRole,organizerOrganization,organizerPerson,sponsorOrganization,sponsorPerson,galleryRotationName,galleryRotationStartDate,galleryRotationEndDate,galleryRotationNote,exhibitionReference,exhibitionReferenceType,exhibitionReferenceNote,exhibitionSectionName,exhibitionSectionLocation,exhibitionSectionObjects,exhibitionSectionNote,exhibitionStatus,exhibitionStatusDate,exhibitionStatusNote,exhibitionObjectNumber,exhibitionObjectName,exhibitionObjectConsCheckDate,exhibitionObjectConsTreatment,exhibitionObjectMount,exhibitionObjectSection,exhibitionObjectCase,exhibitionObjectSeqNum,exhibitionObjectRotation,exhibitionObjectNote
EXH2000.001,Exhibition title text.,Permanent,"University of California, Berkeley; Oakland Museum of California",,,1/1/2000; 1/2/2000,2/1/2000; 2/2/2000,123;456,https://collectionspace.org; https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,Working group title 1; Working group title 2,Working group note text 1.; Working group note text 2.,Princeton University Art Museum,Rosemarie Langager,Conservator; Curator,Tridentino Museo di Scienze Naturali; Watermill Center,Joseph Moore,Institute of Museum and Library Services; Walker Art Center,Angelo Tolton,Gallery rotation name text 1.; Gallery rotation name text 2.,3/1/2000; 3/2/2000,4/1/2000; 4/2/2000,Gallery rotation note text 1.; Gallery rotation note text 2.,Book 1; Book 3,Catalog; Mention,Exhibition reference note text 1.; Exhibition reference note text 2.,Exhibition section name text 1.; Exhibition section name text 2.,Exhibition section location text 1.; Exhibition section location text 2.,Exhibition section object text 1.; Exhibition section object text 2.,Exhibition section remarks text 1.; Exhibition section remarks text 2.,Final object list determined; Labels written,5/1/2000; 5/2/2000,Exhibition status remarks text 1.; Exhibition status remarks text 2.,Object number text 1.; Object number text 2.,Object name text 1.; Object name text 2.,6/1/2000; 6/2/2000,needed; not needed,needed; done,Section text 1.; Section text 2.,Case text 1.; Case text 2.,Sequence number text 1.; Sequence number text 2.,Rotation text 1.; Rotation text 2.,Note text 1.; Note text 2.
EXH2000.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXH2000.002,Exhibition title text.,Temporary,,South America; China,,1/3/2000; 1/4/2000,2/3/2000; 2/4/2000,456;789,https://collectionspace.org; https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,Working group title,Working group note text.,York University,,Web developer,San Francisco Museum of Modern Art,Thomas Taylor; Mary Smith,Museum of the Moving Image,Israel Hayre; Jorge Wadding,Gallery rotation name text.,3/2/2000,4/2/2000,Gallery rotation note text.,Book 2,News article,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Labels written,5/2/2000,Exhibition status remarks text.,Object number text.,Object name text.,6/2/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.003,Exhibition title text.,Traveling,,Ellsworth Land,A:R2:U1:Shelf 1; A:R1:U1:Shelf 3,1/5/2000; 1/6/2000,2/5/2000; 2/6/2000,789;123,https://collectionspace.org; https://lyrasis.org,,Curatorial note text.,General note text.,Boilerplate text text.,Working group title,Working group note text.,,Rosemarie Langager,Curator,Canadian Heritage Information Network,,Phoebe A. Hearst Museum of Anthropology,Jorge Wadding,Gallery rotation name text.,3/3/2000,4/3/2000,Gallery rotation note text.,,Press release,Exhibition reference note text.,,Exhibition section location text.,,Exhibition section remarks text.,Preliminary object list created,5/3/2000,Exhibition status remarks text.,Object number text.,,6/3/2000,needed,needed,Section text.,Case text.,,Rotation text.,Note text.
EXH2000.004,Exhibition title text.,Permanent,Miami-Dade County Department of Cultural Affairs,Coats Land,A:R2:U1:Shelf 2,1/7/2000; 1/8/2000; 1/9/2000,2/7/2000; 2/8/2000; 2/9/2000,456;789;123,https://collectionspace.org; https://lyrasis.org; https://collectionspace.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,,Working group note text.,Art Gallery of Ontario,,Preparator,,,,Reagan Impson,Gallery rotation name text.,3/4/2000,4/4/2000,Gallery rotation note text.,Book 4,,,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,,5/4/2000,,Object number text.,Object name text.,6/4/2000,needed,needed,Section text.,Case text.,Sequence number text.,Rotation text.,
EXH2000.005,Exhibition title text.,Temporary,Oakland Museum of California,Algeria,A:R1:U1:Shelf 3,1/10/2000,2/10/2000,456,,Planning note text.,Curatorial note text.,,,Working group title,Working group note text.,,,Publicist,Watermill Center,,,Evan Saint,,3/5/2000,,Gallery rotation note text.,Book 5,News article,Exhibition reference note text.,Exhibition section name text.,,Exhibition section object text.,,Labels written,5/5/2000,Exhibition status remarks text.,Object number text.,Object name text.,,needed,needed,Section text.,,Sequence number text.,,Note text.
EXH2000.006,Exhibition title text.,Traveling,"University of California, Berkeley",South Africa,,1/11/2000,2/11/2000,789,https://collectionspace.org,Planning note text.,,General note text.,Boilerplate text text.,Working group title,Working group note text.,Princeton University Art Museum,,Web developer,Tridentino Museo di Scienze Naturali,,,,Gallery rotation name text.,3/6/2000,4/6/2000,Gallery rotation note text.,Book 6,,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Preliminary object list created,5/6/2000,Exhibition status remarks text.,,Object name text.,6/6/2000,,needed,,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.007,Exhibition title text.,Permanent,Walker Art Center,China,A:R2:U1:Shelf 3,,2/12/2000,123,https://lyrasis.org,Planning note text.,Curatorial note text.,General note text.,Boilerplate text text.,Working group title,Working group note text.,The New York Public Library,,Curator,San Francisco Museum of Modern Art,,,Angelo Tolton,Gallery rotation name text.,,4/7/2000,Gallery rotation note text.,Book 7,Review,Exhibition reference note text.,,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Final object list determined,,Exhibition status remarks text.,Object number text.,,6/7/2000,needed,,Section text.,Case text.,Sequence number text.,Rotation text.,Note text.
EXH2000.008,Exhibition title text.,Temporary,,Israel,A:R2:U1:Shelf 4,1/13/2000,2/13/2000,,https://collectionspace.org,,Curatorial note text.,General note text.,Boilerplate text text.,Working group title,Working group note text.,York University,,Preparator,,Mary Smith,,Jorge Wadding,Gallery rotation name text.,3/8/2000,4/8/2000,Gallery rotation note text.,Book 8,,Exhibition reference note text.,Exhibition section name text.,Exhibition section location text.,,Exhibition section remarks text.,Labels written,5/8/2000,Exhibition status remarks text.,Object number text.,Object name text.,6/8/2000,needed,needed,Section text.,Case text.,,Rotation text.,Note text.
EXH2000.009,Exhibition title text.,Traveling,Miami-Dade County Department of Cultural Affairs,United Kingdom,A:R1:U1:Shelf 5,1/14/2000,2/14/2000,789,https://lyrasis.org,Planning note text.,Curatorial note text.,,Boilerplate text text.,Working group title,Working group note text.,Art Gallery of Ontario,,Publicist,,Patricia Johnson,"University of California, Berkeley",,Gallery rotation name text.,3/9/2000,4/9/2000,,Book 9,Press release,,Exhibition section name text.,Exhibition section location text.,Exhibition section object text.,Exhibition section remarks text.,Preliminary object list created,5/9/2000,,Object number text.,Object name text.,,,needed,,Case text.,Sequence number text.,Rotation text.,
