ownerPersonLocal,ownerPersonShared,ownerOrganizationLocal,ownerOrganizationShared,objectName,objectNameNote,material,materialComponentNote,responsibleDepartment,publicartinscriptionContentInscriberPerson,publicartinscriptionContentInscriberOrganizationLocal,publicartinscriptionContentInscriberOrganizationShared,publicartinscriptionContentType,publicartinscriptionContent,publicartinscriptionContentPosition,objectNumber,briefDescription,recordStatus,numberOfObjects,title,titleLanguage,titleType,titleTranslation,titleTranslationLanguage,measuredPart,dimensionSummary,dimension,value,measurementUnit,distinguishingFeatures,objectProductionNote,publishTo,comments,inventoryStatus,publicartProductionPersonType,publicartProductionPersonRole,publicartProductionPersonPersonLocal,publicartProductionPersonPersonShared,publicartProductionPersonOrganizationLocal,publicartProductionPersonOrganizationShared,publicartCollection,publicartProductionDate,publicartProductionDateType,objectProductionOrganizationLocal,objectProductionOrganizationShared,objectProductionOrganizationRole,objectProductionPersonLocal,objectProductionPersonShared,objectProductionPersonRole
Cynthia Collector,,,Partner Museum,acrylic paintings; mural paintings (visual works),Work type note 1; Work type note 2,acrylic paint; concrete,Material note 1; Material note 2,mural art program; art on loan,Ian Inscriber;,,; Guerilla Graffiti Squad,estate-stamp; graffiti,Text inscription 1; Text inscription 2,front; bottom,20CS.001.0001,Description of artwork 1; Description of artwork 2,in-process,2,Cat; Bird,English; English,assigned-by-artist; popular,Chat^^Gato; Pajaro^^Oiseau,French^^Spanish; Spanish^^French,base; frame,8.5 x 11;11 x 8.5 x .5,height^^width;height^^width^^depth,8.5^^11;11^^8.5^^0.5,inches^^inches;inches^^inches^^meters,Dist features note,Production note,paa; none,Comment 1; Comment 2,permanent; on loan,person; organization,artist; installation crew,Carrie Creator;,,,; Guerilla Graffiti Squad,Mural collection; Loaned art collection,2018-05-23; 2019-05-23,installation; on view,Admiral Corporation,Berkley Publising Group,distributor;publisher,Eleanor Brown,Richard J. Anobile,artist;author
Owner Person 1,Owner Person 2,Owner Organization 1,Owner Organization 2,drawing; Sheet music,Object Name Note text 3,marker; paper,Material Component Note 1;Material Component Note 2,prints-drawings;decorative-arts,Patricia Johnson,,;Inscriber Org 1,,,,20CS.001.0002,Ut consequat semper viverra nam libero justo laoreet sit amet cursus sit amet dictum sit.;Gravida cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus mauris vitae.,approved,1,A Man; A Woman,English; English,,,,unframed;framed,8.5 x 11,height; width,8.5; 11,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.; This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,organization,administrator;architect,Production Person 1,,,Production Organization 1,Publicart Collecrion Text 1;Publicart Collecrion Text 2,2000/5/1;2000/5/2,creation;commission,,,,Eleanor Brown,,artist
,Owner Person 3,Owner Organization 3,,drawing,Object Name Note text 4,marker; paper,,prints-drawings,,Inscriber Org 2,,,,,20CS.001.0003,Sed cras ornare arcu dui vivamus arcu felis bibendum ut tristique et egestas quis ipsum.,approved,5,Rainbow,English,,,,unframed,8.5 x 11,height; width,8.5; 11,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,person,architect,,,Production Organization 2,,Publicart Collecrion Text 2,2000/5/3,commission,,,,,Eleanor Brown,artist
Owner Person 4,,,Owner Organization 4,drawing,Object Name Note text 5,marker; paper,,prints-drawings,,,Inscriber Org 3,,,,20CS.001.0004,Integer eget aliquet nibh praesent tristique magna sit amet purus gravida quis blandit turpis cursus.,approved,8,Cloudy Day,English,,,,unframed,8.5 x 11,height; width,8.5; 11,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,culture,artist,,Production Person 3,,,Publicart Collecrion Text 3,2000/5/4,dedication,,,,Eleanor Brown,,artist
,Owner Person 5,Owner Organization 5,,drawing,Object Name Note text 6,marker; paper,,prints-drawings,,Inscriber Org 4,,,,,20CS.001.0005,Morbi tincidunt augue interdum velit euismod in pellentesque massa placerat duis ultricies lacus sed turpis.,approved,7,Dots Dots Dots,English,,,,unframed,8.75 x 12,height; width,8.75; 12,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,organization,assistant,,,,Production Organization 4,Publicart Collecrion Text 4,2000/5/5,installation,,,,,Eleanor Brown,artist
Owner Person 6,,,Owner Organization 6,painting,Object Name Note text 7,watercolor; paper,,paintings-sculpture,,,Inscriber Org 5,,,,20CS.001.0006,Vestibulum lorem sed risus ultricies tristique nulla aliquet enim tortor at auctor urna nunc id.,approved,3,Untitled (Watercolor I),English,,,,unframed,9 x 12,height; width,9; 12,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,person,consultant,Production Person 5,,,,Publicart Collecrion Text 5,2000/5/6,on view,,,,Eleanor Brown,,artist
,Owner Person 7,Owner Organization 7,,painting,Object Name Note text 8,acrylic paint; construction paper,,paintings-sculpture,,Inscriber Org 6,,,,,20CS.001.0007,Gravida cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus mauris vitae.,approved,6,Garden,English,,,,unframed,9 x 12,height; width,9; 12,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,culture,designer,,,Production Organization 6,,Publicart Collecrion Text 6,2000/5/7,re-installation,,,,,Eleanor Brown,artist
Owner Person 8,,,Owner Organization 8,painting,Object Name Note text 9,acrylic paint; construction paper,,paintings-sculpture,,,Inscriber Org 7,,,,20CS.001.0008,Sit amet mattis vulputate enim nulla aliquet porttitor lacus luctus accumsan tortor posuere ac ut.,approved,9,Fireworks,English,,,,unframed,9 x 12,height; width,9; 12,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,organization,electrician,,Production Person 7,,,Publicart Collecrion Text 7,2000/5/8,removal,,,,Eleanor Brown,,artist
,Owner Person 9,Owner Organization 9,,painting,Object Name Note text 10,watercolor; paper,,paintings-sculpture,,Inscriber Org 8,,,,,20CS.001.0009,Nisl suscipit adipiscing bibendum est ultricies integer quis auctor elit sed vulputate mi sit amet.,approved,10,Untitled (Watercolor II),English,,,,unframed,8.5 x 11,height; width,8.5; 11,inches,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,person,engineer,,,,Production Organization 8,Publicart Collecrion Text 8,2000/5/9,restoration,,,,,Eleanor Brown,artist
Owner Person 10,,,Owner Organization 10,drawing,Object Name Note text 11,marker; paper,,prints-drawings,,,Inscriber Org 9,,,,,Eget nulla facilisi etiam dignissim diam quis enim lobortis scelerisque fermentum dui faucibus in ornare.,approved,2,Cyclone,English,,,,unframed,,,,,,,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,culture,fabricator,Production Person 9,,,,Publicart Collecrion Text 9,2000/5/10,dedication,,,,,,
