termDisplayName,termName,termQualifier,termType,termFlag,termStatus,termLanguage,termPrefForLang,termSource,termSourceDetail,termSourceID,termSourceNote,nameAbbrev,historicalStatus,nameNote,nameDateGroup,publicArtPlaceType,placementType,placementEnvironment,ownerOrganization,ownerPerson,ownerType,ownershipDateGroup,ownershipNote,placeNote,addressType,addressPlace1,addressPlace2,addressMunicipalitylocal,addressMunicipalityshared,addressStateOrProvincelocal,addressStateOrProvinceshared,addressPostCode,addressCountrylocal,addressCountryshared,addressCounty,decimalLatitude,decimalLongitude,geodeticDatum,coordUncertaintyInMeters,coordPrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,geoReferencedByOrganizationlocal,geoReferencedByOrganizationshared,geoReferencedByPersonlocal,geoReferencedByPersonshared,geoRefDateGroup,geoRefProtocol,geoRefSource,geoRefVerificationStatus,geoRefRemarks,geoRefPlaceName
Country One-P,Country One,Term qualifier text 1,common,official name,accepted,English,TRUE,Book One,Term source detail 1,Unique ID 1,Term source note 1,COne,current,Place name note 1,1/1/2000,Country;Island,airports;alleys (streets),indoor,University of Calgary; New York University,Shirai Tanigawa; Norihide Mita,private;public;private;public,2/1/2000; 2/2/2000; 2/3/2000; 2/4/2000,Ownership note 1; Ownership note 2; Ownership note 3; Ownership note 4,Place note text,business; intersection,Address Line 1A; Address Line 1B,Address Line 2A; Address Line 2B,,Address Municipality 1; Address Municipality 2,Address Province; Address State,,Address Code 123; Address Code 456,,Address Country 1; Address Country 2,Address County 1; Address County 2,43.19472222; 42.99083333,70.875; 71.46361111,epsg4326-wgs84; unknown,1; 2,Precision 1; Precision 2,PRSF 1; PRSF 2,WKT 1; WKT 2,SRS1; SRS2,Spatial fit 1; Spatial fit 2,Metropolitan Museum of Art,,,Kaeda Fuse,5/1/2000; 5/2/2000,georeferencing-dummies; biogeomancer,Book One; Book Two,unverified; verified-contributor,remarks 1; remarks 2,place name 1; place name 2
Country Two-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Three-P,Country Three,Term qualifier text,technical-scientific,official name,under review,Hebrew,FALSE,Book Two,Term source detail,Unique ID 4,Term source note,Cthree,historical,Place name note,36528,city,alleys (streets),outdoor,American Alliance of Museums,,public,2/3/2000,,Place note text,street address,Address Line 1,Address Line 3,Address Municipality,,Address State,,Address Code 234,Address Country,,Address County,43.20666667,71.53805556,epsg4267-nad27,4,Precision text,Point radius spatial fit text,Footprint WKT text,Footprint SRS text,,Dueutsche Kinemathek,,,,5/3/2000,manis-herpnet-ornis-georeferencing-guidelines,,verified-data-custodian,Georeference remarks text,Georeference place name text
Country Four-P,Country Four,Term qualifier text,non-native,pseudonum,accepted,Italian,TRUE,,Term source detail,Unique ID 5,Term source note,Cfour,both,Place name note,,inhabited-place,amusement parks,both,Morgan Library and Museum,,public,2/4/2000,Ownership note text,Place note text,business,Address Line 1,Address Line 4,Address Municipality,,,,Address Code 345,Address Country,,Address County,43.19472222,70.875,unkonwn,5,Precision text,Point radius spatial fit text,Footprint WKT text,Footprint SRS text,Footprint spatial fit text,Center for Contemporary Candian Art,,,,5/4/2000,georeferencing-dummies,Book One,verified-contributor,Georeference remarks text,Georeference place name text
Country Five-P,Country Five,Term qualifier text,,site name,,Japanese,,Book Two,Term source detail,,Term source note,,current,Place name note,36530,locality,amphitheaters (built works),indoor,Gemeentemuseum den Haag,,Private,2/5/2000,Ownership note text,Place note text,intersection,Address Line 1,Address Line 5,,,Address State,,Address Code 456,Address Country,,Address County,,,epsg4326-wgs85,6,,Point radius spatial fit text,Footprint WKT text,Footprint SRS text,Footprint spatial fit text,American Museum of Natural History,,,,5/5/2000,biogeomancer,Book Two,,Georeference remarks text,Georeference place name text
Country Six-P,Country Six,Term qualifier text,common,ISO 3-number,provisional,Korean,TRUE,Book One,Term source detail,Unique ID 7,Term source note,Csix,historical,Place name note,36531,,bus stations,indoor,,Shirai Tanigawa,public,2/6/2000,Ownership note text,Place note text,personal,Address Line 1,Address Line 6,Address Municipality,,Address Province,,,Address Country,,Address County,43.20666667,71.53805556,epsg4326-wgs84,7,Precision text,Point radius spatial fit text,Footprint WKT text,,Footprint spatial fit text,,,Kaeda Fuse,,5/6/2000,chapman-wieczorek-2006-guide-best-practices-georeferencing,Book One,verified-data-custodian,Georeference remarks text,Georeference place name text
Country Seven-P,Country Seven,Term qualifier text,technical-scientific,official name,under review,Latin,FALSE,Book Two,Term source detail,Unique ID 8,Term source note,Cseven,both,Place name note,36532,island,art centers,indoor,,,,2/7/2000,Ownership note text,Place note text,street address,Address Line 1,,Address Municipality,,Address State,,Address Code 678,Address Country,,Address County,43.19472222,70.875,epsg4326-wgs84,8,Precision text,Point radius spatial fit text,Footprint WKT text,Footprint SRS text,Footprint spatial fit text,,,Koi Morishige,,5/7/2000,manis-herpnet-ornis-georeferencing-guidelines,Book Two,verified-contributor,,Georeference place name text
Country Eight-P,,Term qualifier text,non-native,,accepted,Malaysian,TRUE,Book One,Term source detail,Unique ID 9,,Ceight,,Place name note,36533,water-body,commercial buildings,outdoor,,Chikafusa Nakayama,public,2/8/2000,Ownership note text,,business,,Address Line 8,Address Municipality,,Address Province,,Address Code 789,,,,42.99083333,71.46361111,unkonwn,,Precision text,,Footprint WKT text,Footprint SRS text,Footprint spatial fit text,,,,,5/8/2000,georeferencing-dummies,Book One,unverified,Georeference remarks text,Georeference place name text
Country Nine-P,Country Nine,Term qualifier text,local,site name,rejected,,FALSE,Book Two,,Unique ID 10,Term source note,Cnine,historical,Place name note,36534,province,animal shelters (welfare buildings),both,,Maris Oshiro,public,,Ownership note text,Place note text,intersection,Address Line 1,Address Line 9,Address Municipality,,Address State,,Address Code 900,Address Country,,Address County,43.20666667,71.53805556,epsg4326-wgs86,10,Precision text,Point radius spatial fit text,Footprint WKT text,Footprint SRS text,Footprint spatial fit text,,,Yura Shimabukuro,,,biogeomancer,Book Two,verified-data-custodian,Georeference remarks text,
Country Ten-P,Country Ten,Term qualifier text,common,ISO 3-number,provisional,Ancient Greek,TRUE,Book One,Term source detail,Unique ID 11,Term source note,Cten,both,,36535,region,atriums (interior spaces),both,,Norihide Mita,public,2/10/2000,Ownership note text,Place note text,,Address Line 1,Address Line 10,Address Municipality,,Address Province,,Address Code 101,Address Country,,Address County,43.19472222,70.875,,11,Precision text,Point radius spatial fit text,,Footprint SRS text,Footprint spatial fit text,,,Kofuyu Nakama,,5/10/2000,,Book One,verified-contributor,Georeference remarks text,Georeference place name text
